TAHUN,KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN
2018,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018, 5 - 9,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2018, 10 - 14,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0
2018,15-19,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0
2018,20-24,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2018,25-29,0,1,0,0,1,0,0,0,0,10,2,2,0,0,1
2018,30-34,1,0,0,1,0,0,1,0,0,5,2,1,0,1,0
2018,35-39,0,0,0,1,0,0,0,0,0,8,1,1,0,0,0
2018,40-44,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0
2018,45-49,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2018,50-54,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
2018,55-59,1,0,0,1,0,0,0,0,0,3,1,1,0,0,0
2018,60-64,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2018,65-69,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2018,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,>75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019, 5 - 9,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
2019, 10 - 14,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0
2019,15-19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2019,20-24,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0
2019,25-29,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0
2019,30-34,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0
2019,35-39,0,0,0,0,0,0,0,0,1,6,0,3,0,2,0
2019,40-44,0,1,0,1,2,0,0,0,0,1,2,3,0,1,0
2019,45-49,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2019,50-54,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2019,55-59,1,0,0,0,1,0,1,0,0,2,5,1,0,1,0
2019,60-64,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0
2019,65-69,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2019,70-74,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
2019,>75,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020, 5 - 9,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020, 10 - 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,15-19,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2020,20-24,0,0,0,0,1,0,1,0,1,2,0,1,0,1,0
2020,25-29,0,0,0,1,0,0,0,0,1,1,1,3,0,0,0
2020,30-34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020,35-39,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020,40-44,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0
2020,45-49,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2020,50-54,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,55-59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,60-64,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2020,65-69,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2020,70-74,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020,>75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021, 5 - 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021, 10 - 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,25-29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,30-34,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0
2021,35-39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,40-44,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0
2021,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,50-54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,55-59,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2021,60-64,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2021,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,70-74,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2021,>75,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
